_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-07,154405,103.4,8.9,4.8,2022-07,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,449.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-08,154405,103.4,8.9,4.8,2022-08,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,449.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-09,154405,103.4,8.9,4.8,2022-09,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,449.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-10,151785,101.6,8.7,-1.7,2022-10,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,408.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-11,151785,101.6,8.7,-1.7,2022-11,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,408.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2022-12,151785,101.6,8.7,-1.7,2022-12,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,408.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-01,149391,100.0,3.8,-1.6,2023-01,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,358.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-02,149391,100.0,3.8,-1.6,2023-02,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,358.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-03,149391,100.0,3.8,-1.6,2023-03,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,358.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-04,148990,99.7,1.1,-0.3,2023-04,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,338.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-05,148990,99.7,1.1,-0.3,2023-05,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,338.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-06,148990,99.7,1.1,-0.3,2023-06,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,338.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-07,156540,104.8,1.4,5.1,2023-07,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,416.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-08,156540,104.8,1.4,5.1,2023-08,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,416.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-09,156540,104.8,1.4,5.1,2023-09,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,416.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-10,153230,102.6,1.0,-2.1,2023-10,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,368.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-11,153230,102.6,1.0,-2.1,2023-11,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,368.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2023-12,153230,102.6,1.0,-2.1,2023-12,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,368.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-01,154921,103.7,3.7,1.1,2024-01,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,307.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-02,154921,103.7,3.7,1.1,2024-02,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,307.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-03,154921,103.7,3.7,1.1,2024-03,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,307.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-04,158406,106.0,6.3,2.2,2024-04,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,371.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-05,158406,106.0,6.3,2.2,2024-05,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,371.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-06,158406,106.0,6.3,2.2,2024-06,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,371.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-07,167277,112.0,6.9,5.6,2024-07,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,421.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-08,167277,112.0,6.9,5.6,2024-08,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,421.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-09,167277,112.0,6.9,5.6,2024-09,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,421.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2024-10,169319,113.3,10.5,1.2,2024-10,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,420.0
